 노선명 , 발생건수 ,위도,경도,발생년도,울타리 평균 길이,울타리 평균 높이,반경 생태통로 수,반경 동물 개체 수,노선 평균 제한 속도,노선 평균 차로 수,노선 길이,노선 일 평균 이동 차량 수
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,13,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,7,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,7,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,7,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,7,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,7,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
중앙선,7,37.34098704,127.9125914,2022,351.9,1.45,0,1500,98.57142857142856,4.0,287.6,1243698.0
