노선번호,지점번호,도명,시/군,읍/면,동/리,구간,이정(km),연장(km),차로수,시간,계,승용차,버스,소형화물,중형화물,대형화물
함양울산선,1411,경남,밀양,단장,단장,밀양IC-배내골IC,0~20.5,20.5,4,,"9,147","6,594",60,"1,346",948,199
함양울산선,1412,울산,울주,삼남,가천,배내골IC-서울주JCT,20.5~29.6,9.1,4,,"10,170","7,367",70,"1,481","1,024",228
함양울산선,1413,울산,울주,삼동,작동,서울주JCT-울주JCT,29.6~44.3,14.7,4,,"15,799","9,591",133,"2,381","2,719",975
남해선,01001-1,전남,영암,학산,신덕,서영암IC-서호학산IC,0~5.3,5.3,4,,"12,032","8,477",162,"1,802","1,093",498
남해선,01001-2,전남,영암,학산,금계,서호학산IC-강진무위사IC,5.3~19.5,14.2,4,,"12,244","8,619",163,"1,832","1,118",512
남해선,01001-3,전남,강진,작천,토마,강진무위사IC-장흥IC,19.5~38.3,18.8,4,,"10,171","7,165",136,"1,523",920,427
남해선,01001-4,전남,장흥,장동,북교,장흥IC-보성IC,38.3~61.2,22.9,4,,"11,383","8,036",152,"1,694","1,022",479
남해선,01001-5,전남,보성,겸백,수남,보성IC-벌교IC,61.2~79.7,18.5,4,,"18,807","13,223",243,"2,812","1,717",812
남해선,01001-6,전남,보성,벌교,장좌,벌교IC-고흥IC,79.7~83.9,4.2,4,,"19,772","13,991",264,"2,931","1,764",822
남해선,01001-7,전남,순천,별량,원창,고흥IC-순천만IC,83.9~100.3,16.4,4,,"23,849","16,874",314,"3,542","2,129",990
남해선,01001-8,전남,순천,,교량,순천만IC-도롱IC,100.3~106.8,6.5,4,,"26,375","18,548",345,"3,932","2,423","1,127"
남해선,1001,전남,순천,서,동산,서순천IC-순천IC,0~3.8,3.8,4,,"30,408","21,381",394,"4,529","2,813","1,291"
남해선,1002,전남,순천,서,압곡,순천IC-순천JCT,3.8~6,2.2,4,,"20,942","14,729",266,"3,131","1,923",893
남해선,01002-1,전남,광양,봉강,석사,순천JCT-광양IC,6~12.6,6.6,4,,"24,714","15,738",442,"3,211","3,226","2,097"
남해선,1003,전남,광양,광양,용강,광양IC-동광양IC,12.6~17.7,5.1,4,,"30,264","19,226",535,"3,937","3,981","2,585"
남해선,1004,전남,광양,,중군,동광양IC-옥곡IC,17.7~24.2,6.5,4,,"29,041","18,420",515,"3,780","3,835","2,491"
남해선,1005,전남,광양,옥곡,선금,옥곡IC-진월IC,24.2~28.6,4.4,4,,"32,206","20,405",569,"4,205","4,249","2,778"
남해선,1006,전남,광양,진월,망덕,진월IC-하동IC,28.6~35.6,7,4,,"33,092","20,857",575,"4,336","4,426","2,898"
남해선,1007,경남,하동,금남,계천,하동IC-진교IC,35.6~45.7,10.1,4,,"38,030","24,014",668,"4,993","5,050","3,305"
남해선,1008,경남,하동,진교,관곡,진교IC-곤양IC,45.7~52.1,6.4,4,,"44,221","28,003",788,"5,799","5,816","3,815"
남해선,1009,경남,사천,곤양,남문외,곤양IC-축동IC,52.1~60.1,8,4,,"46,340","29,340",826,"6,085","6,091","3,998"
남해선,1010,경남,사천,축동,가산,축동IC-사천IC,60.1~66,5.9,4,,"47,585","30,128",850,"6,260","6,247","4,100"
남해선,1011,경남,사천,축동,사다,사천IC-진주JCT,66~68.5,2.5,6,,"62,936","40,125","1,146","8,262","8,095","5,308"
남해선,1012,경남,진주,정촌,화계,진주JCT-진주IC,68.5~71.7,3.2,8,,"78,146","49,613","1,411","10,261","10,208","6,653"
남해선,1013,경남,진주,,가호,진주IC-문산IC,71.7~75.7,4,8,,"69,012","40,429",666,"11,487","9,452","6,978"
남해선,1014,경남,진주,문산,소문,문산IC-진성IC,75.7~82.6,6.9,8,,"72,310","42,378",706,"12,023","9,928","7,275"
남해선,1015,경남,진주,진성,동산,진성IC-지수IC,82.6~88.6,6,8,,"72,209","42,303",710,"12,023","9,922","7,251"
남해선,1016,경남,진주,지수,승산,지수IC-군북IC,88.6~97.8,9.2,8,,"73,524","43,156",718,"12,228","10,071","7,351"
남해선,1017,경남,함안,군북,사도,군북IC-장지IC,97.8~100.6,2.8,8,,"79,766","47,025",785,"13,286","10,784","7,886"
남해선,1018,경남,함안,군북,유현,장지IC-함안IC,100.6~104.2,3.6,8,,"82,477","48,674",807,"13,750","11,130","8,116"
남해선,1019,경남,함안,가야,도항,함안IC-산인JCT,104.2~112.9,8.7,8,,"88,601","52,328",869,"14,769","11,933","8,702"
남해선,01019-1,경남,함안,산인,모곡,산인JCT-칠원JCT,112.9~116,3.1,4,,"58,133","34,598",723,"9,869","7,377","5,566"
남해선,01019-2,경남,함안,칠원,유원,칠원JCT-북창원IC,116~124.8,8.8,4,,"69,201","41,107",858,"11,725","8,848","6,663"
남해선,01019-3,경남,창원,동,외감,북창원IC-창원JCT,124.8~128.4,3.6,4,,"68,874","40,897",851,"11,649","8,794","6,683"
남해선,1024,경남,창원,동,용전,창원JCT-동창원IC,128.4~133.4,5,8,,"115,455","69,701","1,572","19,655","14,016","10,511"
남해선,1025,경남,김해,진영,사산,동창원IC-진영JCT,133.4~135.7,2.3,8,,"120,556","72,983","1,648","20,528","14,524","10,873"
남해선,01025-1,경남,김해,진영,우동,진영JCT-진례IC,135.7139.7,4,8,,"94,186","59,500","1,445","15,002","8,389","9,850"
남해선,1026,경남,김해,진례,송정,진례IC-진례JCT,139.7~142.9,4.5,8,,"104,821","66,270","1,604","16,727","9,268","10,952"
남해선,01026-1,경남,김해,주촌,유하,진례JCT-냉정JCT,142.9~146.7,2.5,8,,"91,671","63,406","1,553","15,350","7,566","3,796"
남해선,1027,경남,김해,장유,유하,냉정JCT-서김해IC,146.7~151.5,4.8,6,,"64,272","47,922",923,"9,939","3,603","1,885"
남해선,1028,경남,김해,,흥,서김해IC-동김해IC,151.5~156,4.5,6,,"78,546","58,244","1,125","12,283","4,548","2,346"
남해선,01028-1,경남,김해,,부원,동김해IC-김해JCT,156~158.7,2.7,8,,"97,404","72,720","1,403","14,948","5,464","2,869"
남해선,1029,경남,김해,,강동,김해JCT-대저JCT,158.7~163.5,4.8,6,,"63,454","52,014",734,"8,667","1,320",719
